,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,location,default_profile,default_profile_image,profile_banner_url,profile_image_url_https,verified,age,in_following_followers,n_number_sname,size_sname,size_description,size_name,in_number_sname,Alvo,n_retweet_mean,n_favorite_mean,n_hashtags_mean,n_urls_mean,n_mentions_mean,media_size_twitter,dp_size_twitter,in_tweets_reply,n_tweet_dia,max_count_tweet_dia,count_dias_tweet,in_tweet_dia
0,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,61,15,0.0,1,1.095,0.615,0.12,0.04,0.03,88.39,28.033900000000003,1,2,14,108,1.8518518518518519
1,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,14,133,15,0.0,1,0.67,0.395,0.075,0.015,0.01,88.565,30.759350000000005,0,2,22,93,2.150537634408602
2,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,100,16,0.0,1,0.16,0.45,0.04,0.025,0.0,89.11,29.800099999999997,0,1,22,98,2.0408163265306123
3,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,76,16,0.0,1,2.91,0.185,0.1,0.025,0.01,89.275,28.452250000000003,0,17,17,105,1.9047619047619047
4,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,9,48,10,0.0,1,0.6,0.26,0.045,0.03,0.005,83.895,27.530250000000002,0,1,17,105,1.9047619047619047
5,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,9,57,10,0.0,1,3.77,0.225,0.17,0.02,0.03,88.685,27.418699999999998,0,2,15,98,2.0408163265306123
6,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,13,41,14,0.0,1,1.31,0.265,0.125,0.035,0.025,91.55,29.81,1,1,17,103,1.941747572815534
7,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,75,16,0.0,1,12.075,0.235,0.17,0.025,0.02,86.405,30.27285,0,16,16,102,1.9607843137254901
8,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,11,83,12,0.0,1,2.165,0.215,0.06,0.015,0.005,85.895,25.33815,0,3,16,97,2.0618556701030926
9,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,72,13,0.0,1,0.735,0.33,0.13,0.025,0.005,90.585,29.795,0,1,25,96,2.0833333333333335
10,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,2,15,75,14,0.13333333333333333,1,0.095,0.215,0.075,0.025,0.0,93.38,24.7638,0,2,19,104,1.9230769230769231
11,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,11,50,12,0.0,1,1.125,0.22,0.1,0.025,0.01,84.015,29.0456,1,1,18,97,2.0618556701030926
12,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,1,13,64,13,0.07692307692307693,1,0.86,0.405,0.11,0.025,0.03,89.31,29.9355,0,23,23,86,2.3255813953488373
13,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,55,13,0.0,1,11.215,0.415,0.115,0.01,0.01,90.205,27.54115,0,2,14,101,1.9801980198019802
14,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,2,13,135,12,0.15384615384615385,1,0.065,0.17,0.035,0.015,0.0,89.565,27.597599999999996,0,3,16,100,2.0
15,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,15,63,16,0.0,1,0.01,0.01,0.095,0.005,0.0,88.945,28.755,0,1,21,102,1.9607843137254901
16,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,22,13,0.0,1,0.07,0.19,0.07,0.005,0.0,91.52,28.06,0,1,16,101,1.9801980198019802
17,cem,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,11,50,12,0.0,1,0.0,0.015,0.12,0.02,0.0,87.345,29.84225,0,4,16,104,1.9230769230769231
18,duzentos,0,0,0,0,0,1,0,0,0,1,0,> 2 years,0.0,0,12,33,13,0.0,1,11.965,0.335,0.145,0.04,0.015,88.575,29.79075,0,1,15,103,1.941747572815534
