,user_id,statuses_count,followers_count,friends_count,favourites_count,listed_count,url,location,default_profile,default_profile_image,profile_banner_url,profile_image_url_https,verified,timestamp,Alvo,age,size_description,in_following_followers,size_sname,size_name,in_number_sname
48,465196345,120,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 03:36:42,1,875,61,0.0,14,1,0.0
51,465306140,33,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 07:13:22,1,865,133,0.0,14,1,0.0
54,465318952,137,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 07:39:15,1,875,100,0.0,15,1,0.0
56,465320112,62,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 07:41:32,1,875,76,0.0,15,1,0.0
60,465325633,63,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 07:52:53,1,872,48,0.0,9,1,0.0
61,465328572,48,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 07:58:59,1,873,57,0.0,9,1,0.0
63,465335657,137,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 08:13:54,1,875,41,0.0,13,1,0.0
64,465338328,100,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 08:19:21,1,874,75,0.0,15,1,0.0
65,465343577,72,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 08:30:23,1,875,83,0.0,11,1,0.0
67,465349136,123,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 08:41:56,1,875,72,0.0,12,1,0.0
71,465360460,130,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 09:05:23,1,875,75,0.0,15,1,0.0
74,465366176,54,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 09:17:05,1,873,50,0.0,11,1,0.0
78,465369079,104,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 09:22:56,1,875,64,0.0,13,1,0.0
79,465369276,135,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 09:23:17,1,875,55,0.0,12,1,0.0
81,465371415,48,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 09:27:37,1,874,135,0.0,13,1,0.0
83,465373317,20,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 09:31:27,1,873,63,0.0,15,1,0.0
84,465373507,43,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 09:31:52,1,875,22,0.0,12,1,0.0
85,465373538,31,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 09:31:56,1,875,50,0.0,11,1,0.0
89,465376231,116,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 09:36:58,1,875,33,0.0,12,1,0.0
90,465376509,57,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 09:37:30,1,875,34,0.0,12,1,0.0
92,465378609,63,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 09:41:48,1,874,38,0.0,15,1,0.0
94,465379325,121,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 09:43:14,1,875,56,0.0,13,1,0.0
96,465387088,47,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 09:58:16,1,874,59,0.0,12,1,0.0
97,465387671,71,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 09:59:29,1,875,64,0.0,15,1,0.0
99,465392182,78,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 10:08:19,1,875,71,0.0,15,1,0.0
101,465393290,68,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 10:10:26,1,875,39,0.0,14,1,0.0
104,465398499,134,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 10:20:26,1,875,50,0.0,14,1,0.0
117,465418896,66,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 11:01:55,1,875,133,0.0,15,1,0.0
121,465427410,108,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 11:18:47,1,873,84,0.0,13,1,0.0
122,465428761,125,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 11:21:36,1,875,25,0.0,12,1,0.0
127,465434130,79,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 11:32:16,1,875,62,0.0,14,1,0.0
128,465434388,138,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 11:32:44,1,875,68,0.0,13,1,0.0
129,465435993,110,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 11:35:47,1,875,81,0.0,13,1,0.0
131,465442625,41,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 11:48:26,1,875,134,0.0,12,1,0.0
132,465445130,148,0,0,0,0,1,1,1,1,1,1,1,2012-01-16 11:53:07,1,875,48,0.0,13,1,0.0
133,466109264,42,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 03:24:52,1,873,79,0.0,14,1,0.0
135,466114317,93,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 03:32:24,1,868,22,0.0,13,1,0.0
136,466116893,57,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 03:36:26,1,874,76,0.0,13,1,0.0
137,466121357,120,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 03:43:33,1,872,59,0.0,15,1,0.0
140,466124818,50,0,0,0,0,1,1,1,1,1,1,1,2012-01-17 03:49:18,1,874,117,0.0,13,1,0.0
